"Text.Cleaning","Tokenization","Normalization","Stop.Words.Removal","Spell.Checking","Stemming","Lemmatization"
"decision-making","insight","insight","insight","insight","insight","insight"
"process.","customer","customer","customer","customer","custom","customer"
"simply","employee","employee","employee","employee","employe","employee"
"put,","base","base","base","base","base","base"
"making","deploy","deploy","deploy","deploy","deploi","deploy"
"informed","automated","automated","automated","automated","autom","automate"
"decisions","text","text","text","text","text","text"
"requires","analytic","analytic","analytic","analytic","analyt","analytics"
"input","tag","tag","tag","tag","tag","tag"
"from","comment","comment","comment","comment","comment","comment"
"all","classify","classify","classify","classify","classifi","classify"
"stakeholders.","based","based","based","based","base","base"
"executives","sentiment","sentiment","sentiment","sentiment","sentiment","sentiment"
"can","theme","theme","theme","theme","theme","theme"
"lean","process","process","process","process","process","process"
"on","simplifies","simplifies","simplifies","simplifies","simplifi","simplify"
"a","easily","easily","easily","easily","easili","easily"
"diverse","dig","dig","dig","dig","dig","dig"
"pool","topics","topics","topics","topics","topic","topic"
"of","matter","matter","matter","matter","matter","matter"
"skills,","decision","decision","decision","decision","decis","decision"
"backgrounds,","manage","manage","manage","manage","manag","manage"
"e","corporate","corporate","corporate","corporate","corpor","corporate"
"tongue","strategy","strategy","strategy","strategy","strategi","strategy"
"sticking","artificial","artificial","artificial","artificial","artifici","artificial"
"out","intelligence","intelligence","intelligence","intelligence","intellig","intelligence"
"eriences,","tools","tools","tools","tools","tool","tool"
"and","chippy","chippy","chippy","chippy","kippi","kippy"
"perspectives.","executives","executives","executives","executives","execut","executive"
"the","line","line","line","line","line","line"
"more","managers","managers","managers","managers","manag","manager"
"diverse,","cascade","cascade","cascade","cascade","cascad","cascade"
"the","strategic","strategic","strategic","strategic","strateg","strategic"
"better.","decisions","decisions","decisions","decisions","decis","decision"
"per","goals","goals","goals","goals","goal","goal"
"mckinsey,","levels","levels","levels","levels","level","level"
"<e2><80><9c>companies","organization","organization","organization","organization","organ","organization"
"in","including","including","including","including","includ","include"
"the","business","business","business","business","busi","business"
"top","units","units","units","units","unit","unit"
"quartile","individuals","individuals","individuals","individuals","individu","individual"
"for","organization","organization","organization","organization","organ","organization"
"gender","there","there","there","there","theyr","theyre"
"diversity","priority","priority","priority","priority","prioriti","priority"
"on","assign","assign","assign","assign","assign","assign"
"executive","goal","goal","goal","goal","goal","goal"
"teams","task","task","task","task","task","task"
"were","decision","decision","decision","decision","decis","decision"
"25","team","team","team","team","team","team"
"percent","individual","individual","individual","individual","individu","individual"
"more","accountability","accountability","accountability","accountability","account","accountability"
"likely","ownership","ownership","ownership","ownership","ownership","ownership"
"to","task","task","task","task","task","task"
"have","essential","essential","essential","essential","essenti","essential"
"above-average","ensuring","ensuring","ensuring","ensuring","ensur","ensure"
"profitability","multiple","multiple","multiple","multiple","multipl","multiple"
"than","departments","departments","departments","departments","depart","department"
"companies","task","task","task","task","task","task"
"in","duplicating","duplicating","duplicating","duplicating","duplic","duplicate"
"the","effort","effort","effort","effort","effort","effort"
"fourth","study","study","study","study","studi","study"
"quartile.<e2><80><9d>","gr","gr","gr","gr","gri","gri"
"simple","tires","tires","tires","tires","tire","tire"
"technology","chippy","chippy","chippy","chippy","kippi","kippy"
"tools","bottomless","bottomless","bottomless","bottomless","toptobottom","toptobottom"
"like","strategic","strategic","strategic","strategic","strateg","strategic"
"slack,","alignment","alignment","alignment","alignment","align","alignment"
"trello,","cut","cut","cut","cut","cut","cut"
"google","losses","losses","losses","losses","loss","loss"
"workspace,","alter","alter","alter","alter","alter","alter"
"and","plans","plans","plans","plans","plan","plan"
"asana","continue","continue","continue","continue","continu","continue"
"facilitate","objective","objective","objective","objective","object","objective"
"real-time","data driven","data driven","data driven","data driven","datadriven","datadriven"
"communication","review","review","review","review","review","review"
"and","easy","easy","easy","easy","easi","easy"
"collaboration.","fall","fall","fall","fall","fall","fall"
"according","trap","trap","trap","trap","trap","trap"
"to","escalation","escalation","escalation","escalation","escal","escalation"
"paul","commitment","commitment","commitment","commitment","commit","commitment"
"nutt,","your","your","your","your","your","youre"
"ohio","stuck","stuck","stuck","stuck","stuck","stick"
"state","poor","poor","poor","poor","poor","poor"
"university","choices","choices","choices","choices","choic","choice"
"management","performance","performance","performance","performance","perform","performance"
"professor","measures","measures","measures","measures","measur","measure"
"and","supercritical","supercritical","supercritical","supercritical","supercrit","supercritical"
"author","reasonable","reasonable","reasonable","reasonable","reason","reasonable"
"of","rubrics","rubrics","rubrics","rubrics","rubric","rubric"
"why","metrics","metrics","metrics","metrics","metric","metric"
"decisions","attached","attached","attached","attached","attach","attach"
"fail:","decision","decision","decision","decision","decis","decision"
"avoiding","minimum","minimum","minimum","minimum","minimum","minimum"
"the","targets","targets","targets","targets","target","target"
"blunders","key","key","key","key","kei","key"
"and","takeaway","takeaway","takeaway","takeaway","takeawai","takeaway"
"traps","decision making","decision making","decision making","decision making","decisionmak","decisionmaking"
"that","iterative","iterative","iterative","iterative","iter","iterative"
"lead","process","process","process","process","process","process"
"to","decisions","decisions","decisions","decisions","decis","decision"
"debacles,","hypotheses","hypotheses","hypotheses","hypotheses","hypothes","hypothesis"
"the","data","data","data","data","data","datum"
"root","wrong","wrong","wrong","wrong","wrong","wrong"
"cause","chippy","chippy","chippy","chippy","kippi","kippy"
"of","compute","compute","compute","compute","comput","compute"
"decision","kips","kips","kips","kips","kpi","kpis"
"failure","projects","projects","projects","projects","project","project"
"is","departments","departments","departments","departments","depart","department"
"selecting","objectives","objectives","objectives","objectives","object","objective"
"from","individuals","individuals","individuals","individuals","individu","individual"
"a","providing","providing","providing","providing","provid","provide"
"limited","Birdseye","Birdseye","Birdseye","Birdseye","birdsey","birdseye"
"pool","view","view","view","view","view","view"
"of","performance","performance","performance","performance","perform","performance"
"potential","desired","desired","desired","desired","desir","desire"
"options","unit","unit","unit","unit","unit","unit"
"or","set","set","set","set","set","set"
"solutions.","kip","kip","kip","kip","kpi","kpi"
"paul","targets","targets","targets","targets","target","target"
"nutt","drive","drive","drive","drive","drive","drive"
"found","business","business","business","business","busi","business"
"that","growth","growth","growth","growth","growth","growth"
"executives","imagine","imagine","imagine","imagine","imagin","imagine"
"only","experience","experience","experience","experience","experi","experience"
"examine","feel","feel","feel","feel","feel","feel"
"one","customers","customers","customers","customers","custom","customer"
"additional","leaders","leaders","leaders","leaders","leader","leader"
"alternative","simulate","simulate","simulate","simulate","simul","simulate"
"70%","scenarios","scenarios","scenarios","scenarios","scenario","scenario"
"of","virtual","virtual","virtual","virtual","virtual","virtual"
"the","reality","reality","reality","reality","realiti","reality"
"time","technology","technology","technology","technology","technologi","technology"
"when","decisions","decisions","decisions","decisions","decis","decision"
"making","based","based","based","based","base","base"
"important","they've","they've","they've","they've","theyv","theyve"
"strategic","experienced","experienced","experienced","experienced","experienc","experience"
"decisions.","data","data","data","data","data","datum"
"yet,","experience","experience","experience","experience","experi","experience"
"he","helpful","helpful","helpful","helpful","help","helpful"
"found","product","product","product","product","product","product"
"evidence","development","development","development","development","develop","development"
"that","marketing","marketing","marketing","marketing","market","market"
"enlarging","decisions","decisions","decisions","decisions","decis","decision"
"the","strategic","strategic","strategic","strategic","strateg","strategic"
"pool","decision making","decision making","decision making","decision making","decisionmak","decisionmaking"
"of","arduous","arduous","arduous","arduous","arduou","arduous"
"alternatives","process","process","process","process","process","process"
"improves","guarantees","guarantees","guarantees","guarantees","guarante","guarantee"
"the","you'll","you'll","you'll","you'll","youll","youll"
"quality","decision","decision","decision","decision","decis","decision"
"of","there","there","there","there","theyr","theyre"
"decisions.","inherently","inherently","inherently","inherently","inher","inherently"
"foundational","risky","risky","risky","risky","riski","risky"
"problems","uncertain","uncertain","uncertain","uncertain","uncertain","uncertain"
"like","technology","technology","technology","technology","technologi","technology"
"ego,","improve","improve","improve","improve","improv","improve"
"haste,","decision making","decision making","decision making","decision making","decisionmak","decisionmaking"
"and","tremendously","tremendously","tremendously","tremendously","tremend","tremendously"
"biased","automate","automate","automate","automate","autom","automate"
"motives","tasks","tasks","tasks","tasks","task","task"
"may","increase","increase","increase","increase","increas","increase"
"be","speed","speed","speed","speed","speed","speed"
"responsible","leverage","leverage","leverage","leverage","leverag","leverage"
"for","machine","machine","machine","machine","machin","machine"
"executives","learning","learning","learning","learning","learn","learn"
"sticking","artificial","artificial","artificial","artificial","artifici","artificial"
"to","intelligence","intelligence","intelligence","intelligence","intellig","intelligence"
"one","predict","predict","predict","predict","predict","predict"
"alternative.","future","future","future","future","futur","future"
"technology","reduce","reduce","reduce","reduce","reduc","reduce"
"cannot","risk","risk","risk","risk","risk","risk"
"fix","uncertainty","uncertainty","uncertainty","uncertainty","uncertainti","uncertainty"
"those,","technology","technology","technology","technology","technologi","technology"
"but","agile","agile","agile","agile","agil","agile"
"it","choices","choices","choices","choices","choic","choice"
"may","quickly","quickly","quickly","quickly","quickli","quickly"
"help","pivot","pivot","pivot","pivot","pivot","pivot"
"you","your","your","your","your","your","youre"
"garner","results","results","results","results","result","result"
"and","targeted","targeted","targeted","targeted","target","target"
"brainstorm","technology","technology","technology","technology","technologi","technology"
"more","embedded","embedded","embedded","embedded","embed","embed"
"alternatives.","decision making","decision making","decision making","decision making","decisionmak","decisionmaking"
"we<e2><80><99>ve","process","process","process","process","process","process"
"established","worth","worth","worth","worth","worth","worth"
"how","weight","weight","weight","weight","weight","weight"
"building","gold","gold","gold","gold","gold","gold"
"a","font","font","font","font","dont","do"
"pool","strategic","strategic","strategic","strategic","strateg","strategic"
"of","decision making","decision making","decision making","decision making","decisionmak","decisionmaking"
"alternatives","complex","complex","complex","complex","complex","complex"
"improves","task","task","task","task","task","task"
"the","request","request","request","request","request","request"
"probability","live","live","live","live","live","live"
"of","demo","demo","demo","demo","demo","demo"
"making","chippy","chippy","chippy","chippy","kippi","kippy"
"quality","faster","faster","faster","faster","faster","fast"
"decisions.","decisions","decisions","decisions","decisions","decis","decision"
"but","unlocking","unlocking","unlocking","unlocking","unlock","unlock"
"how","strategic","strategic","strategic","strategic","strateg","strategic"
"do","success","success","success","success","success","success"
"you","role","role","role","role","role","role"
"evaluate","artificial","artificial","artificial","artificial","artifici","artificial"
"these","intelligence","intelligence","intelligence","intelligence","intellig","intelligence"
"alternatives?","strategy","strategy","strategy","strategy","strategi","strategy"
"it<e2><80><99>s","execution","execution","execution","execution","execut","execution"
"through","unlocking","unlocking","unlocking","unlocking","unlock","unlock"
"analysis","organizational","organizational","organizational","organizational","organiz","organizational"
"of","success","success","success","success","success","success"
"alternatives","strategy","strategy","strategy","strategy","strategi","strategy"
"(aoa).","maps","maps","maps","maps","map","map"
"tools","comprehensive","comprehensive","comprehensive","comprehensive","comprehens","comprehensive"
"and","guide","guide","guide","guide","guid","guide"
"frameworks","corporate","corporate","corporate","corporate","corpor","corporate"
"used","business","business","business","business","busi","business"
"for","strategy","strategy","strategy","strategy","strategi","strategy"
"an","comprehensive","comprehensive","comprehensive","comprehensive","comprehens","comprehensive"
"aoa","guide","guide","guide","guide","guid","guide"
"include","leaders","leaders","leaders","leaders","leader","leader"
"scenario","home why","home why","home why","home why","homewhi","homewhy"
"analysis,","kippyfeaturespricing","kippyfeaturespricing","kippyfeaturespricing","kippyfeaturespricing","kippyfeaturespr","kippyfeaturespricing"
"consensus","demo","demo","demo","demo","demo","demo"
"tracking","companyaboutblogcustomers","companyaboutblogcustomers","companyaboutblogcustomers","companyaboutblogcustomers","companyaboutblogcustom","companyaboutblogcustomers"
"for","resourcesvideoslearninghow","resourcesvideoslearninghow","resourcesvideoslearninghow","resourcesvideoslearninghow","resourcesvideoslearninghow","resourcesvideoslearninghow"
"decision","study","study","study","study","studi","study"
"management,","accountloginsignupsecurity","accountloginsignupsecurity","accountloginsignupsecurity","accountloginsignupsecurity","accountloginsignupsecur","accountloginsignupsecurity"
"cost-benefit","powered","powered","powered","powered","power","power"
"analysis,","share","share","share","share","share","share"
"risk","email","email","email","email","email","email"
"evaluation,","address","address","address","address","address","address"
"suitability,","information","information","information","information","inform","information"
"swot","copyright","copyright","copyright","copyright","copyright","copyright"
"analysis,","chippy","chippy","chippy","chippy","kippi","kippy"
"pest","kip","kip","kip","kip","kpi","kpi"
"analysis,","management","management","management","management","manag","management"
"life-cycle","limited","limited","limited","limited","limit","limit"
"cost,","rights","rights","rights","rights","right","right"
"project","reserved","reserved","reserved","reserved","reserv","reserve"
"timeline,","company","company","company","company","compani","company"
"and","registration","registration","registration","registration","registr","registration"
"sensitivity","England","England","England","England","england","england"
"analysis.","wales","wales","wales","wales","wale","wale"
"the","contact","contact","contact","contact","contact","contact"
"key","infokippycloud","infokippycloud","infokippycloud","infokippycloud","infokippycloud","infokippycloud"
"factor","partnership","partnership","partnership","partnership","partnership","partnership"
"here","","","","","",""
"is","","","","","",""
"to","","","","","",""
"define","","","","","",""
"the","","","","","",""
"problem,","","","","","",""
"objectives,","","","","","",""
"and","","","","","",""
"business","","","","","",""
"context","","","","","",""
"and","","","","","",""
"then","","","","","",""
"determine","","","","","",""
"the","","","","","",""
"overriding","","","","","",""
"ground","","","","","",""
"rules","","","","","",""
"your","","","","","",""
"analysis","","","","","",""
"will","","","","","",""
"be","","","","","",""
"based","","","","","",""
"on.","","","","","",""
"simul8","","","","","",""
"is","","","","","",""
"a","","","","","",""
"great","","","","","",""
"example","","","","","",""
"of","","","","","",""
"a","","","","","",""
"tool","","","","","",""
"used","","","","","",""
"by","","","","","",""
"organizations","","","","","",""
"to","","","","","",""
"e","","","","","",""
"tongue","","","","","",""
"sticking","","","","","",""
"out","","","","","",""
"eriment","","","","","",""
"with","","","","","",""
"business","","","","","",""
"processes","","","","","",""
"and","","","","","",""
"plan","","","","","",""
"scenarios.","","","","","",""
"sap","","","","","",""
"and","","","","","",""
"oracle","","","","","",""
"have","","","","","",""
"modules","","","","","",""
"and","","","","","",""
"features","","","","","",""
"for","","","","","",""
"performing","","","","","",""
"cost","","","","","",""
"analysis","","","","","",""
"and","","","","","",""
"risk","","","","","",""
"assessment.","","","","","",""
"bounded","","","","","",""
"rationality","","","","","",""
"is","","","","","",""
"one","","","","","",""
"of","","","","","",""
"the","","","","","",""
"challenges","","","","","",""
"leaders","","","","","",""
"face","","","","","",""
"when","","","","","",""
"making","","","","","",""
"decisions.","","","","","",""
"management","","","","","",""
"school","","","","","",""
"of","","","","","",""
"thought","","","","","",""
"defines","","","","","",""
"this","","","","","",""
"as","","","","","",""
"<e2><80><9c>the","","","","","",""
"notion","","","","","",""
"that","","","","","",""
"challenging","","","","","",""
"complex","","","","","",""
"issues","","","","","",""
"that","","","","","",""
"leaders","","","","","",""
"cannot","","","","","",""
"fully","","","","","",""
"grasp","","","","","",""
"makes","","","","","",""
"them","","","","","",""
"unable","","","","","",""
"to","","","","","",""
"be","","","","","",""
"rational","","","","","",""
"about","","","","","",""
"the","","","","","",""
"situation,","","","","","",""
"and","","","","","",""
"are,","","","","","",""
"therefore,","","","","","",""
"incapable","","","","","",""
"of","","","","","",""
"understanding","","","","","",""
"an","","","","","",""
"alternative.<e2><80><9d>","","","","","",""
"amongst","","","","","",""
"decision","","","","","",""
"makers,","","","","","",""
"there","","","","","",""
"are","","","","","",""
"likely","","","","","",""
"those","","","","","",""
"with","","","","","",""
"limited","","","","","",""
"knowledge","","","","","",""
"about","","","","","",""
"a","","","","","",""
"particular","","","","","",""
"business","","","","","",""
"problem","","","","","",""
"or","","","","","",""
"parts","","","","","",""
"of","","","","","",""
"it.","","","","","",""
"executives","","","","","",""
"must","","","","","",""
"research","","","","","",""
"and","","","","","",""
"go","","","","","",""
"through","","","","","",""
"plenty","","","","","",""
"of","","","","","",""
"pages","","","","","",""
"to","","","","","",""
"bridge","","","","","",""
"that","","","","","",""
"gap.","","","","","",""
"technology","","","","","",""
"tools","","","","","",""
"can","","","","","",""
"help.","","","","","",""
"leaders","","","","","",""
"can","","","","","",""
"use","","","","","",""
"ai","","","","","",""
"tools","","","","","",""
"for","","","","","",""
"swot","","","","","",""
"analysis,","","","","","",""
"research","","","","","",""
"market","","","","","",""
"trends,","","","","","",""
"and","","","","","",""
"summarize","","","","","",""
"competitors<e2><80><99>","","","","","",""
"annual","","","","","",""
"reports","","","","","",""
"in","","","","","",""
"seconds.","","","","","",""
"additionally,","","","","","",""
"you","","","","","",""
"can","","","","","",""
"build","","","","","",""
"custom","","","","","",""
"solutions","","","","","",""
"using","","","","","",""
"the","","","","","",""
"same","","","","","",""
"models","","","","","",""
"that","","","","","",""
"power","","","","","",""
"these","","","","","",""
"ai","","","","","",""
"tools.","","","","","",""
"these","","","","","",""
"solutions","","","","","",""
"are","","","","","",""
"built","","","","","",""
"on","","","","","",""
"your","","","","","",""
"company<e2><80><99>s","","","","","",""
"data.","","","","","",""
"as","","","","","",""
"such,","","","","","",""
"you","","","","","",""
"can","","","","","",""
"query","","","","","",""
"such","","","","","",""
"applications","","","","","",""
"to","","","","","",""
"get","","","","","",""
"more","","","","","",""
"information","","","","","",""
"about","","","","","",""
"the","","","","","",""
"customer","","","","","",""
"journey,","","","","","",""
"a","","","","","",""
"department,","","","","","",""
"product,","","","","","",""
"or","","","","","",""
"service.","","","","","",""
"the","","","","","",""
"decision-making","","","","","",""
"process","","","","","",""
"has","","","","","",""
"many","","","","","",""
"tedious","","","","","",""
"and","","","","","",""
"repetitive","","","","","",""
"tasks","","","","","",""
"that","","","","","",""
"take","","","","","",""
"your","","","","","",""
"time.","","","","","",""
"every","","","","","",""
"productive","","","","","",""
"hour","","","","","",""
"counts","","","","","",""
"in","","","","","",""
"today<e2><80><99>s","","","","","",""
"world,","","","","","",""
"where","","","","","",""
"speed,","","","","","",""
"agility,","","","","","",""
"and","","","","","",""
"time-to-market","","","","","",""
"matter.","","","","","",""
"for","","","","","",""
"example,","","","","","",""
"let<e2><80><99>s","","","","","",""
"say","","","","","",""
"you","","","","","",""
"want","","","","","",""
"open-ended","","","","","",""
"feedback","","","","","",""
"from","","","","","",""
"your","","","","","",""
"customers","","","","","",""
"or","","","","","",""
"employees","","","","","",""
"about","","","","","",""
"a","","","","","",""
"decision.","","","","","",""
"it<e2><80><99>ll","","","","","",""
"take","","","","","",""
"you","","","","","",""
"days","","","","","",""
"and","","","","","",""
"maybe","","","","","",""
"weeks","","","","","",""
"to","","","","","",""
"sift","","","","","",""
"through","","","","","",""
"each","","","","","",""
"response","","","","","",""
"to","","","","","",""
"uncover","","","","","",""
"valuable","","","","","",""
"insight,","","","","","",""
"particularly","","","","","",""
"if","","","","","",""
"you","","","","","",""
"have","","","","","",""
"a","","","","","",""
"large","","","","","",""
"customer","","","","","",""
"or","","","","","",""
"employee","","","","","",""
"base.","","","","","",""
"you","","","","","",""
"can","","","","","",""
"deploy","","","","","",""
"automated","","","","","",""
"text","","","","","",""
"analytics","","","","","",""
"to","","","","","",""
"tag","","","","","",""
"each","","","","","",""
"comment","","","","","",""
"and","","","","","",""
"classify","","","","","",""
"them","","","","","",""
"based","","","","","",""
"on","","","","","",""
"sentiment","","","","","",""
"and","","","","","",""
"theme.","","","","","",""
"this","","","","","",""
"process","","","","","",""
"simplifies","","","","","",""
"your","","","","","",""
"work,","","","","","",""
"and","","","","","",""
"you","","","","","",""
"can","","","","","",""
"easily","","","","","",""
"dig","","","","","",""
"into","","","","","",""
"the","","","","","",""
"topics","","","","","",""
"that","","","","","",""
"matter","","","","","",""
"to","","","","","",""
"your","","","","","",""
"decision.","","","","","",""
"you","","","","","",""
"may","","","","","",""
"also","","","","","",""
"like:","","","","","",""
"how","","","","","",""
"to","","","","","",""
"manage","","","","","",""
"your","","","","","",""
"corporate","","","","","",""
"strategy","","","","","",""
"using","","","","","",""
"artificial","","","","","",""
"intelligence","","","","","",""
"tools","","","","","",""
"like","","","","","",""
"kippy","","","","","",""
"help","","","","","",""
"executives","","","","","",""
"and","","","","","",""
"line","","","","","",""
"managers","","","","","",""
"cascade","","","","","",""
"strategic","","","","","",""
"decisions","","","","","",""
"and","","","","","",""
"goals","","","","","",""
"to","","","","","",""
"all","","","","","",""
"levels","","","","","",""
"of","","","","","",""
"your","","","","","",""
"organization,","","","","","",""
"including","","","","","",""
"business","","","","","",""
"units","","","","","",""
"and","","","","","",""
"individuals.","","","","","",""
"everyone","","","","","",""
"in","","","","","",""
"the","","","","","",""
"organization","","","","","",""
"knows","","","","","",""
"what","","","","","",""
"they<e2><80><99>re","","","","","",""
"working","","","","","",""
"on","","","","","",""
"and","","","","","",""
"which","","","","","",""
"parts","","","","","",""
"are","","","","","",""
"a","","","","","",""
"priority.","","","","","",""
"you","","","","","",""
"can","","","","","",""
"also","","","","","",""
"assign","","","","","",""
"each","","","","","",""
"goal","","","","","",""
"and","","","","","",""
"task","","","","","",""
"under","","","","","",""
"a","","","","","",""
"decision","","","","","",""
"to","","","","","",""
"a","","","","","",""
"team","","","","","",""
"or","","","","","",""
"individual","","","","","",""
"to","","","","","",""
"help","","","","","",""
"with","","","","","",""
"accountability.","","","","","",""
"clear","","","","","",""
"ownership","","","","","",""
"for","","","","","",""
"each","","","","","",""
"task","","","","","",""
"is","","","","","",""
"essential","","","","","",""
"in","","","","","",""
"ensuring","","","","","",""
"multiple","","","","","",""
"departments","","","","","",""
"are","","","","","",""
"not","","","","","",""
"working","","","","","",""
"on","","","","","",""
"the","","","","","",""
"same","","","","","",""
"task","","","","","",""
"and","","","","","",""
"duplicating","","","","","",""
"effort.","","","","","",""
"case","","","","","",""
"study:","","","","","",""
"see","","","","","",""
"how","","","","","",""
"gri","","","","","",""
"tires","","","","","",""
"used","","","","","",""
"kippy","","","","","",""
"for","","","","","",""
"top-to-bottom","","","","","",""
"strategic","","","","","",""
"alignment","","","","","",""
"how","","","","","",""
"do","","","","","",""
"you","","","","","",""
"know","","","","","",""
"if","","","","","",""
"you","","","","","",""
"should","","","","","",""
"cut","","","","","",""
"your","","","","","",""
"losses,","","","","","",""
"alter","","","","","",""
"your","","","","","",""
"plans,","","","","","",""
"or","","","","","",""
"continue","","","","","",""
"as","","","","","",""
"is?","","","","","",""
"you","","","","","",""
"can","","","","","",""
"do","","","","","",""
"this","","","","","",""
"through","","","","","",""
"an","","","","","",""
"objective,","","","","","",""
"data-driven","","","","","",""
"review.","","","","","",""
"otherwise,","","","","","",""
"it","","","","","",""
"is","","","","","",""
"easy","","","","","",""
"to","","","","","",""
"fall","","","","","",""
"into","","","","","",""
"the","","","","","",""
"trap","","","","","",""
"of","","","","","",""
"""escalation","","","","","",""
"of","","","","","",""
"commitment,""","","","","","",""
"where","","","","","",""
"things","","","","","",""
"are","","","","","",""
"not","","","","","",""
"working,","","","","","",""
"but","","","","","",""
"you","","","","","",""
"are","","","","","",""
"too","","","","","",""
"stuck","","","","","",""
"on","","","","","",""
"your","","","","","",""
"poor","","","","","",""
"choices.","","","","","",""
"that","","","","","",""
"is","","","","","",""
"why","","","","","",""
"performance","","","","","",""
"measures","","","","","",""
"are","","","","","",""
"supercritical.","","","","","",""
"you","","","","","",""
"must","","","","","",""
"have","","","","","",""
"reasonable","","","","","",""
"rubrics","","","","","",""
"and","","","","","",""
"metrics","","","","","",""
"attached","","","","","",""
"to","","","","","",""
"every","","","","","",""
"decision","","","","","",""
"and","","","","","",""
"their","","","","","",""
"minimum","","","","","",""
"targets.","","","","","",""
"the","","","","","",""
"key","","","","","",""
"takeaway","","","","","",""
"here","","","","","",""
"is","","","","","",""
"that","","","","","",""
"decision-making","","","","","",""
"is","","","","","",""
"an","","","","","",""
"iterative","","","","","",""
"process.","","","","","",""
"think","","","","","",""
"of","","","","","",""
"all","","","","","",""
"your","","","","","",""
"decisions","","","","","",""
"as","","","","","",""
"hypotheses.","","","","","",""
"the","","","","","",""
"data","","","","","",""
"will","","","","","",""
"tell","","","","","",""
"you","","","","","",""
"if","","","","","",""
"you","","","","","",""
"were","","","","","",""
"right","","","","","",""
"or","","","","","",""
"wrong.","","","","","",""
"kippy","","","","","",""
"allows","","","","","",""
"you","","","","","",""
"to","","","","","",""
"compute","","","","","",""
"kpis","","","","","",""
"across","","","","","",""
"projects,","","","","","",""
"departments,","","","","","",""
"objectives,","","","","","",""
"and","","","","","",""
"individuals,","","","","","",""
"providing","","","","","",""
"a","","","","","",""
"bird's-eye","","","","","",""
"view","","","","","",""
"of","","","","","",""
"performance","","","","","",""
"across","","","","","",""
"your","","","","","",""
"desired","","","","","",""
"unit.","","","","","",""
"you","","","","","",""
"may","","","","","",""
"also","","","","","",""
"like:","","","","","",""
"how","","","","","",""
"to","","","","","",""
"set","","","","","",""
"kpi","","","","","",""
"targets","","","","","",""
"that","","","","","",""
"drive","","","","","",""
"business","","","","","",""
"growth","","","","","",""
"some","","","","","",""
"things","","","","","",""
"are","","","","","",""
"best","","","","","",""
"seen.","","","","","",""
"rather","","","","","",""
"than","","","","","",""
"imagine","","","","","",""
"what","","","","","",""
"an","","","","","",""
"e","","","","","",""
"tongue","","","","","",""
"sticking","","","","","",""
"out","","","","","",""
"erience","","","","","",""
"may","","","","","",""
"feel","","","","","",""
"like","","","","","",""
"for","","","","","",""
"customers,","","","","","",""
"leaders","","","","","",""
"can","","","","","",""
"simulate","","","","","",""
"different","","","","","",""
"scenarios","","","","","",""
"through","","","","","",""
"the","","","","","",""
"help","","","","","",""
"of","","","","","",""
"virtual","","","","","",""
"reality","","","","","",""
"technology.","","","","","",""
"they","","","","","",""
"can","","","","","",""
"then","","","","","",""
"make","","","","","",""
"decisions","","","","","",""
"based","","","","","",""
"on","","","","","",""
"what","","","","","",""
"they<e2><80><99>ve","","","","","",""
"e","","","","","",""
"tongue","","","","","",""
"sticking","","","","","",""
"out","","","","","",""
"erienced","","","","","",""
"and","","","","","",""
"the","","","","","",""
"data","","","","","",""
"backing","","","","","",""
"up","","","","","",""
"that","","","","","",""
"e","","","","","",""
"tongue","","","","","",""
"sticking","","","","","",""
"out","","","","","",""
"erience.","","","","","",""
"using","","","","","",""
"vr","","","","","",""
"is","","","","","",""
"particularly","","","","","",""
"helpful","","","","","",""
"for","","","","","",""
"product","","","","","",""
"development","","","","","",""
"or","","","","","",""
"marketing","","","","","",""
"decisions.","","","","","",""
"strategic","","","","","",""
"decision-making","","","","","",""
"can","","","","","",""
"be","","","","","",""
"a","","","","","",""
"long","","","","","",""
"and","","","","","",""
"arduous","","","","","",""
"process.","","","","","",""
"there","","","","","",""
"are","","","","","",""
"also","","","","","",""
"no","","","","","",""
"guarantees","","","","","",""
"that","","","","","",""
"you","","","","","",""
"will","","","","","",""
"get","","","","","",""
"every","","","","","",""
"decision","","","","","",""
"right","","","","","",""
"because","","","","","",""
"they","","","","","",""
"are","","","","","",""
"inherently","","","","","",""
"risky","","","","","",""
"and","","","","","",""
"uncertain.","","","","","",""
"technology","","","","","",""
"can","","","","","",""
"help","","","","","",""
"to","","","","","",""
"improve","","","","","",""
"your","","","","","",""
"decision-making","","","","","",""
"tremendously.","","","","","",""
"you","","","","","",""
"can","","","","","",""
"automate","","","","","",""
"tasks","","","","","",""
"to","","","","","",""
"increase","","","","","",""
"speed.","","","","","",""
"you","","","","","",""
"can","","","","","",""
"try","","","","","",""
"to","","","","","",""
"leverage","","","","","",""
"machine","","","","","",""
"learning","","","","","",""
"and","","","","","",""
"artificial","","","","","",""
"intelligence","","","","","",""
"to","","","","","",""
"predict","","","","","",""
"the","","","","","",""
"future","","","","","",""
"and","","","","","",""
"reduce","","","","","",""
"risk","","","","","",""
"and","","","","","",""
"uncertainty.","","","","","",""
"technology","","","","","",""
"keeps","","","","","",""
"you","","","","","",""
"agile.","","","","","",""
"you","","","","","",""
"can","","","","","",""
"make","","","","","",""
"choices","","","","","",""
"and","","","","","",""
"quickly","","","","","",""
"pivot","","","","","",""
"if","","","","","",""
"you","","","","","",""
"are","","","","","",""
"not","","","","","",""
"getting","","","","","",""
"the","","","","","",""
"results","","","","","",""
